id,name,discount_type,is_active
1,Print Bulk Discount Plan 1,fixed_price,true
2,Print Bulk Discount Plan 2,fixed_price,true
3,Print Bulk Discount Plan 3,fixed_price,true
4,Print Bulk Discount Plan 4,fixed_price,true
5,Print Bulk Discount Plan 5,fixed_price,true
6,Print Bulk Discount Plan 6,fixed_price,true
7,Print Bulk Discount Plan 7,fixed_price,true
8,Print Bulk Discount Plan 8,fixed_price,true
9,Print Bulk Discount Plan 9,fixed_price,true
10,Print Bulk Discount Plan 10,fixed_price,true
11,Print Bulk Discount Plan 11,fixed_price,true
12,Print Bulk Discount Plan 12,fixed_price,true
13,Print Bulk Discount Plan 13,fixed_price,true
14,Print Bulk Discount Plan 14,fixed_price,true
15,Print Bulk Discount Plan 15,fixed_price,true
16,Print Bulk Discount Plan 16,fixed_price,true
17,Print Bulk Discount Plan 17,fixed_price,true
18,Print Bulk Discount Plan 18,fixed_price,true
19,Print Bulk Discount Plan 19,fixed_price,true
20,Print Bulk Discount Plan 20,fixed_price,true
21,Print Bulk Discount Plan 21,fixed_price,true
22,Print Bulk Discount Plan 22,fixed_price,true
23,Print Bulk Discount Plan 23,fixed_price,true
24,Print Bulk Discount Plan 24,fixed_price,true
25,Print Bulk Discount Plan 25,fixed_price,true
26,Print Bulk Discount Plan 26,fixed_price,true
27,Print Bulk Discount Plan 27,fixed_price,true
28,Print Bulk Discount Plan 28,fixed_price,true
29,Print Bulk Discount Plan 29,fixed_price,true
30,Print Bulk Discount Plan 30,fixed_price,true
31,Print Bulk Discount Plan 31,fixed_price,true
32,Print Bulk Discount Plan 32,fixed_price,true
33,Print Bulk Discount Plan 33,fixed_price,true
34,Print Bulk Discount Plan 34,fixed_price,true
35,Print Bulk Discount Plan 35,fixed_price,true
36,Print Bulk Discount Plan 36,fixed_price,true
37,Print Bulk Discount Plan 37,fixed_price,true
38,Print Bulk Discount Plan 38,fixed_price,true
39,Print Bulk Discount Plan 39,fixed_price,true
40,Print Bulk Discount Plan 40,fixed_price,true
41,Print Bulk Discount Plan 41,fixed_price,true
42,Print Bulk Discount Plan 42,fixed_price,true
43,Print Bulk Discount Plan 43,fixed_price,true
44,Print Bulk Discount Plan 44,fixed_price,true
45,Print Bulk Discount Plan 45,fixed_price,true
46,Print Bulk Discount Plan 46,fixed_price,true
47,Print Bulk Discount Plan 47,fixed_price,true
48,Print Bulk Discount Plan 48,fixed_price,true
49,Print Bulk Discount Plan 49,fixed_price,true
50,Print Bulk Discount Plan 50,fixed_price,true
51,Print Bulk Discount Plan 51,fixed_price,true
52,Print Bulk Discount Plan 52,fixed_price,true
53,Print Bulk Discount Plan 53,fixed_price,true
54,Print Bulk Discount Plan 54,fixed_price,true
55,Print Bulk Discount Plan 55,fixed_price,true
56,Print Bulk Discount Plan 56,fixed_price,true
57,Print Bulk Discount Plan 57,fixed_price,true
58,Print Bulk Discount Plan 58,fixed_price,true
