id,print_bulk_discount_plan_id,quantity,value,vdp,net
1,1,1,3.04,0.35,1.52
2,1,50,1.34,0.35,0.67
3,1,100,1.2,0.35,0.6
4,1,250,1,0.35,0.5
5,1,500,0.94,0.35,0.47
6,1,1000,0.8,0.35,0.4
7,1,2500,0.72,0.35,0.36
8,1,5000,0.68,0.35,0.34
9,1,10000,0.58,0.35,0.29
10,2,1,3.6,0.35,1.8
11,2,50,2,0.35,1
12,2,100,1.56,0.35,0.78
13,2,250,1.44,0.35,0.72
14,2,500,1.24,0.35,0.62
15,2,1000,1.18,0.35,0.59
16,2,2500,1.04,0.35,0.52
17,2,5000,0.96,0.35,0.48
18,2,10000,0.84,0.35,0.42
19,3,1,4.16,0.35,2.08
20,3,50,2.6,0.35,1.3
21,3,100,1.96,0.35,0.98
22,3,250,1.72,0.35,0.86
23,3,500,1.54,0.35,0.77
24,3,1000,1.48,0.35,0.74
25,3,2500,1.42,0.35,0.71
26,3,5000,1.24,0.35,0.62
27,3,10000,1.1,0.35,0.55
28,4,1,0.5,0.1,0.25
29,4,50,0.5,0.1,0.25
30,4,100,0.5,0.1,0.25
31,4,250,0.5,0.1,0.25
32,4,500,0.5,0.1,0.25
33,4,1000,0.5,0.1,0.25
34,4,2500,0.5,0.1,0.25
35,4,5000,0.5,0.1,0.25
36,4,10000,0.5,0.1,0.25
37,5,1,3.78,0.35,1.89
38,5,50,3.56,0.35,1.78
39,5,100,3.48,0.35,1.74
40,5,250,3.06,0.35,1.53
41,5,500,2,0.35,1
42,5,1000,1.76,0.35,0.88
43,5,2500,1.76,0.35,0.88
44,5,5000,1.76,0.35,0.88
45,5,10000,1.76,0.35,0.88
46,6,1,3.6,0.35,1.8
47,6,50,1.54,0.35,0.77
48,6,100,1.2,0.35,0.6
49,6,250,0.9,0.35,0.45
50,6,500,0.82,0.35,0.41
51,6,1000,0.72,0.35,0.36
52,6,2500,0.58,0.35,0.29
53,6,5000,0.56,0.35,0.28
54,6,10000,0.54,0.35,0.27
55,7,1,5.58,0.35,2.79
56,7,50,2.96,0.35,1.48
57,7,100,1.62,0.35,0.81
58,7,250,1.28,0.35,0.64
59,7,500,1.08,0.35,0.54
60,7,1000,0.96,0.35,0.48
61,7,2500,0.9,0.35,0.45
62,7,5000,0.82,0.35,0.41
63,7,10000,0.8,0.35,0.4
64,8,1,5.98,0.35,2.99
65,8,50,3.36,0.35,1.68
66,8,100,2.96,0.35,1.48
67,8,250,2.7,0.35,1.35
68,8,500,2.44,0.35,1.22
69,8,1000,2.2,0.35,1.1
70,8,2500,2,0.35,1
71,8,5000,1.94,0.35,0.97
72,8,10000,1.84,0.35,0.92
73,9,1,4.16,0.35,2.08
74,9,50,3.48,0.35,1.74
75,9,100,3.36,0.35,1.68
76,9,250,2.84,0.35,1.42
77,9,500,2.22,0.35,1.11
78,9,1000,2.08,0.35,1.04
79,9,2500,2,0.35,1
80,9,5000,1.98,0.35,0.99
81,9,10000,1.84,0.35,0.92
82,10,1,4.62,0.35,2.31
83,10,50,4,0.35,2
84,10,100,3.78,0.35,1.89
85,10,250,3.36,0.35,1.68
86,10,500,2.64,0.35,1.32
87,10,1000,2.52,0.35,1.26
88,10,2500,2.44,0.35,1.22
89,10,5000,2.3,0.35,1.15
90,10,10000,2.22,0.35,1.11
91,11,1,7.42,0.35,3.71
92,11,50,6.32,0.35,3.16
93,11,100,5.02,0.35,2.51
94,11,250,4.28,0.35,2.14
95,11,500,3.08,0.35,1.54
96,11,1000,2.8,0.35,1.4
97,11,2500,2.66,0.35,1.33
98,11,5000,2.5,0.35,1.25
99,11,10000,2.44,0.35,1.22
100,12,1,4.86,0.35,2.43
101,12,50,3.36,0.35,1.68
102,12,100,2.6,0.35,1.3
103,12,250,2.24,0.35,1.12
104,12,500,2.1,0.35,1.05
105,12,1000,2,0.35,1
106,12,2500,1.84,0.35,0.92
107,12,5000,1.76,0.35,0.88
108,12,10000,1.72,0.35,0.86
109,13,1,3.56,0.35,1.78
110,13,50,2,0.35,1
111,13,100,1.56,0.35,0.78
112,13,250,1.32,0.35,0.66
113,13,500,1.28,0.35,0.64
114,13,1000,1.02,0.35,0.51
115,13,2500,0.9,0.35,0.45
116,13,5000,0.82,0.35,0.41
117,13,10000,0.74,0.35,0.37
118,14,1,7.88,0.5,3.94
119,14,50,4.96,0.5,2.48
120,14,100,3.9,0.5,1.95
121,14,250,2.84,0.5,1.42
122,14,500,2.74,0.5,1.37
123,14,1000,2.64,0.5,1.32
