id,name,slug
1,Brandably Collection,brandably-collection
2,Aviana,aviana
3,Vinga,vinga
4,GearX,gearx
5,Brandably Xclusive,brandably-xclusive
6,Ukiyo,ukiyo
7,Brandably Design,brandably-design
8,Grundig,grundig
9,Gaming Hero,gaming-hero
10,Swiss Peak,swiss-peak
11,Philips,philips
12,Urban Vitamin,urban-vitamin
13,Motorola,motorola
14,BE O Lifestyle,be-o-lifestyle
15,Avira,avira
16,Black + Blum,black-blum
17,Bellroy,bellroy
18,C-Secure,c-secure
19,Skross,skross
20,Boska,boska
21,Anker,anker
22,Topl,topl
23,iqoniq,iqoniq
