id,name,slug
1,Bags & Travel,bags-and-travel
2,Outdoor,outdoor
3,Drinkware,drinkware
4,Home & Living,home-and-living
5,Car & Safety,car-and-safety
6,Tools & Torches,tools-and-torches
7,Lanyards & Keychains,lanyards-and-keychains
8,Phone & Tablet accessories,phone-and-tablet-accessories
9,Audio,audio
10,Healthy Living & Sport,healthy-living-and-sport
11,Headwear,headwear
12,Writing Instruments,writing-instruments
13,Portfolios & Notebooks,portfolios-and-notebooks
14,Umbrellas,umbrellas
15,Textile,textile
