id,file_name,file_url,is_cover,product_variant
1,100804-001__B_1__e30251ad66df423fa457b6ae38a2715a.jpg,/images/products/100804-001__B_1__e30251ad66df423fa457b6ae38a2715a.jpg,false,1
2,100804-001__B_2__6ab454ca465c4831a20eaa62599aa216.jpg,/images/products/100804-001__B_2__6ab454ca465c4831a20eaa62599aa216.jpg,false,1
3,100804-001__B_3__84fec88aae454b4e9aa311937dc12def.jpg,/images/products/100804-001__B_3__84fec88aae454b4e9aa311937dc12def.jpg,false,1
4,100804-001__B_4__136bd80a4b9448dbb5dbce416bdf7eb7.jpg,/images/products/100804-001__B_4__136bd80a4b9448dbb5dbce416bdf7eb7.jpg,false,1
5,100804-001__D_100__6af55973451142eebdf41f57a694c327.jpg,/images/products/100804-001__D_100__6af55973451142eebdf41f57a694c327.jpg,false,1
6,100804-001__S_0__e89b6698606e4b9e88f442cfa95b8149.jpg,/images/products/100804-001__S_0__e89b6698606e4b9e88f442cfa95b8149.jpg,true,1
7,100804-410__B_1__3490e3bb928848f9922362014727fb57.jpg,/images/products/100804-410__B_1__3490e3bb928848f9922362014727fb57.jpg,false,2
8,100804-410__B_2__7ac39d7e29f44c608f940d0424407678.jpg,/images/products/100804-410__B_2__7ac39d7e29f44c608f940d0424407678.jpg,false,2
9,100804-410__B_3__d43d7d5842a448a9be87d9069345e5ec.jpg,/images/products/100804-410__B_3__d43d7d5842a448a9be87d9069345e5ec.jpg,false,2
10,100804-410__D_100__f89de5d3d728405e86bb58bc9fc5355a.jpg,/images/products/100804-410__D_100__f89de5d3d728405e86bb58bc9fc5355a.jpg,false,2
11,100804-410__S_0__23b2aca6c42445e59c7c4bcf305a5732.jpg,/images/products/100804-410__S_0__23b2aca6c42445e59c7c4bcf305a5732.jpg,true,2
12,100805-001__B_1__5449bbb2909c4891933c2da7073c0b9f.jpg,/images/products/100805-001__B_1__5449bbb2909c4891933c2da7073c0b9f.jpg,false,3
13,100805-001__B_2__6a64b06579a5417f886056523ae54c43.jpg,/images/products/100805-001__B_2__6a64b06579a5417f886056523ae54c43.jpg,false,3
14,100805-001__B_3__0cc903113bf9444dba530ba310a8563e.jpg,/images/products/100805-001__B_3__0cc903113bf9444dba530ba310a8563e.jpg,false,3
15,100805-001__B_4__d9ae826549ee48fb97307b0cf9e0d8f1.jpg,/images/products/100805-001__B_4__d9ae826549ee48fb97307b0cf9e0d8f1.jpg,false,3
16,100805-001__D_100__c21571e967384572a5b6c94938bb63c9.jpg,/images/products/100805-001__D_100__c21571e967384572a5b6c94938bb63c9.jpg,false,3
17,100805-001__M_400__45e1e938e951456986682996a0584222.jpg,/images/products/100805-001__M_400__45e1e938e951456986682996a0584222.jpg,false,3
18,100805-001__M_401__bf5f6816b82b49f7b69ee5ac6debe268.jpg,/images/products/100805-001__M_401__bf5f6816b82b49f7b69ee5ac6debe268.jpg,false,3
19,100805-001__M_402__f122536b0dc7472a94d95dc1b4ddae27.jpg,/images/products/100805-001__M_402__f122536b0dc7472a94d95dc1b4ddae27.jpg,false,3
20,100805-001__S_0__d55200ba1f604ec1a13c9af8462f85d2.jpg,/images/products/100805-001__S_0__d55200ba1f604ec1a13c9af8462f85d2.jpg,true,3
21,100805-410__B_1__17a77510b07e474ba81149577dee0830.jpg,/images/products/100805-410__B_1__17a77510b07e474ba81149577dee0830.jpg,false,4
22,100805-410__B_2__0e9888d01b3f44218348affdc112fd89.jpg,/images/products/100805-410__B_2__0e9888d01b3f44218348affdc112fd89.jpg,false,4
