id,sku,revised_sku,price,stock,color_id,size_id,print_option,print_position,max_print_width,max_print_height,print_area_unit,product_id,bulk_discount_plan_id
1,100804-001,Xbl04-001,10.28,1863,1,,59,1,150,150,mm,1,1
2,100804-410,Xna04-410,10.28,2208,2,,59,1,150,150,mm,1,1
3,100805-001,Xbl05-001,12.88,3955,1,,59,1,100,100,mm,2,2
4,100805-410,Xna05-410,12.88,4485,2,,59,1,100,100,mm,2,2
5,100806-001,Xbl06-001,45.24,2922,1,,59,1,120,120,mm,3,3
6,100806-410,Xna06-410,45.24,2961,2,,59,1,120,120,mm,3,3
7,101032-001,Xbl32-001,14.86,3805,1,,59,1,100,50,mm,4,4
8,101032-410,Xna32-410,14.86,3882,2,,59,1,100,50,mm,4,4
9,101036-001,Xbl36-001,8.98,2981,1,,59,1,220,150,mm,5,5
10,101036-410,Xna36-410,8.98,3796,2,,59,1,220,150,mm,5,5
11,101037-001,Xbl37-001,11.58,3202,1,,59,1,100,40,mm,6,6
12,101037-410,Xna37-410,11.58,837,2,,59,1,100,40,mm,6,6
13,101038-001,Xbl38-001,16.76,0,1,,59,1,200,150,mm,7,7
14,101038-410,Xna38-410,16.76,0,2,,59,1,200,150,mm,7,7
15,101950-001,Abl50-001,25.76,2807,1,,10,4,250,115,mm,8,8
16,101950-119,Awh50-119,25.76,2258,3,,10,4,250,115,mm,8,8
17,101952-001,Abl52-001,21.86,2772,1,,10,4,205,110,mm,9,9
18,101952-119,Awh52-119,21.86,1952,3,,10,4,205,110,mm,9,9
19,102001,Vgr102001,4.38,16875,4,,40,5,25,70,mm,10,10
20,102002,Vtr102002,4.38,6261,5,,40,5,25,70,mm,10,10
21,102004,Vgr102004,4.38,17923,6,,40,5,25,70,mm,10,10
22,102005,Vor102005,4.38,17421,7,,40,5,25,70,mm,10,10
23,102006,Vbl102006,4.38,14359,8,,40,5,25,70,mm,10,10
24,102015,Vbr102015,42.58,4287,9,,18,4,200,120,mm,11,11
25,102016,Vgr102016,42.66,867,4,,18,4,200,120,mm,11,12
26,102017,Vof102017,42.66,2267,10,,18,4,200,120,mm,11,12
27,102018,Vgr102018,42.66,884,6,,18,4,200,120,mm,11,12
28,102019,Vbl102019,42.58,414,8,,18,4,200,120,mm,11,11
29,102055-001,Xbl55-001,10.26,2718,1,,59,1,160,170,mm,12,13
30,10220,Vbr10220,19.28,495,9,,34,11,50,10,mm,13,14
31,102227-001,Abl27-001,24.5,2523,1,,10,4,236,170,mm,14,15
32,102227-119,Awh27-119,24.5,2960,3,,10,4,236,170,mm,14,15
